id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Lenny_Keebler87@hotmail.com;fearful aside;2024-04-29T10:37:48;29278;22729
2;Rubye;Jerde;Jabari39@gmail.com;psst right duh;2024-04-29T12:50:32;13380;15023
3;Laney;Medhurst;Lelah_Schmidt@gmail.com;provided cautiously;2024-04-30T02:12:33;20492;21868
4;Axel;Bernhard;Ana_Goodwin47@yahoo.com;why excepting slippers;2024-04-29T21:33:02;8642;16574
5;Aleen;Heathcote;Chauncey_Cole@gmail.com;shoo;2024-04-30T02:35:36;3222;5505
6;Jackson;Fay;Charley_Murphy40@hotmail.com;suppurate pride wherever;2024-04-30T01:57:58;12640;14602
7;Vinnie;West-Bechtelar;Jamil.Greenholt@yahoo.com;ouch engorge;2024-04-29T14:51:56;11650;10509
8;Mayra;Kihn;Nikolas.Hansen78@yahoo.com;who meanwhile;2024-04-30T02:49:11;20904;25191
9;Ernest;Hudson;Verla.Jenkins@yahoo.com;damp;2024-04-29T22:43:38;1703;14983
10;Cayla;Aufderhar;Madelyn_Bins42@hotmail.com;as amidst stop;2024-04-29T10:35:57;2600;14756
